"Region_alt","Start_year","End_year","Region","Region_type","Strata_included","Strata_excluded","Trend","Trend_Q0.025","Trend_Q0.05","Trend_Q0.25","Trend_Q0.75","Trend_Q0.95","Trend_Q0.975","Percent_Change","Percent_Change_Q0.025","Percent_Change_Q0.05","Percent_Change_Q0.25","Percent_Change_Q0.75","Percent_Change_Q0.95","Percent_Change_Q0.975","Slope_Trend","Slope_Trend_Q0.025","Slope_Trend_Q0.05","Slope_Trend_Q0.25","Slope_Trend_Q0.75","Slope_Trend_Q0.95","Slope_Trend_Q0.975","prob_decrease_0_percent","prob_decrease_25_percent","prob_decrease_30_percent","prob_decrease_50_percent","prob_increase_0_percent","prob_increase_33_percent","prob_increase_100_percent","Relative_Abundance","Observed_Relative_Abundance","Number_of_strata","Width_of_95_percent_Credible_Interval","Width_of_95_percent_Credible_Interval_Slope","Number_of_Routes","Mean_Number_of_Routes","backcast_flag","pool","Trend_Time","reliab.cov","precision","coverage","local_data","backcast_reliab","Reliability","For_Web","species","espece","bbs_num","mapfile"
"Continental",1970,2019,"Continental","continental","US-AZ-33 US-AZ-34 US-CA-33",NA,0.526263314267572,-0.678614145010783,-0.513566597840832,0.106820669170127,1.05706707705968,2.00887861392654,2.34341572040941,29.3294527804143,-28.3698653915875,-22.2985325711806,5.37067592990779,67.4047595363276,165.009044959895,211.125401834757,0.446902823663053,-0.609851992871149,-0.43472797851907,0.0731979539831007,0.90233984325242,1.68121525460157,1.95839234528218,0.204444444444444,0.0375,0.0211111111111111,0.00111111111111111,0.795555555555556,0.469444444444444,0.133611111111111,0.818666971541967,1.03319118783725,3,3.02202986542019,2.56824433815333,38,14.34,1,0.0248900351332623,"Long-term",NA,"High",NA,"Low","High","High",FALSE,"Abert's Towhee","Tohi d'Abert",5920,NA
"United States of America",1970,2019,"US","national","US-AZ-33 US-AZ-34 US-CA-33",NA,0.526263314267572,-0.678614145010783,-0.513566597840832,0.106820669170127,1.05706707705968,2.00887861392654,2.34341572040941,29.3294527804143,-28.3698653915875,-22.2985325711806,5.37067592990779,67.4047595363276,165.009044959895,211.125401834757,0.446902823663053,-0.609851992871149,-0.43472797851907,0.0731979539831007,0.90233984325242,1.68121525460157,1.95839234528218,0.204444444444444,0.0375,0.0211111111111111,0.00111111111111111,0.795555555555556,0.469444444444444,0.133611111111111,0.818666971541967,1.03319118783725,3,3.02202986542019,2.56824433815333,38,14.34,1,0.0248900351332623,"Long-term",NA,"High",NA,"Low","High","High",FALSE,"Abert's Towhee","Tohi d'Abert",5920,NA
"Continental",2009,2019,"Continental","continental","US-AZ-33 US-AZ-34 US-CA-33",NA,-0.438262595567213,-3.46661956377405,-2.95347291434237,-1.41529410226701,0.507277408991202,1.92269032995456,2.4725771685579,-4.29719503778385,-29.7291591980693,-25.9031094523368,-13.2847553656026,5.19015338711408,20.9786647593646,27.6663928556411,-0.442140267294722,-3.4800552086838,-2.97068645868183,-1.41620953837004,0.510181999339804,1.92447151944001,2.45858927481343,0.621666666666667,0.0572222222222222,0.0238888888888889,0.000555555555555556,0.378333333333333,0.0122222222222222,0,0.856150172491141,1.00081226614743,3,5.93919673233195,5.93864448349723,30,19.8181818181818,1,0.0352627051124769,"Short-term",NA,"Medium",NA,"Low","High","Medium",FALSE,"Abert's Towhee","Tohi d'Abert",5920,NA
"United States of America",2009,2019,"US","national","US-AZ-33 US-AZ-34 US-CA-33",NA,-0.438262595567213,-3.46661956377405,-2.95347291434237,-1.41529410226701,0.507277408991202,1.92269032995456,2.4725771685579,-4.29719503778385,-29.7291591980693,-25.9031094523368,-13.2847553656026,5.19015338711408,20.9786647593646,27.6663928556411,-0.442140267294722,-3.4800552086838,-2.97068645868183,-1.41620953837004,0.510181999339804,1.92447151944001,2.45858927481343,0.621666666666667,0.0572222222222222,0.0238888888888889,0.000555555555555556,0.378333333333333,0.0122222222222222,0,0.856150172491141,1.00081226614743,3,5.93919673233195,5.93864448349723,30,19.8181818181818,1,0.0352627051124769,"Short-term",NA,"Medium",NA,"Low","High","Medium",FALSE,"Abert's Towhee","Tohi d'Abert",5920,NA
"Continental",1970,2019,"Continental","continental","US-AL-24 US-AL-27 US-AL-28 US-AL-29 US-AR-24 US-AR-25 US-AR-26 US-CT-30 US-DE-30 US-FL-27 US-FL-31 US-GA-27 US-GA-28 US-GA-29 US-IA-22 US-IL-22 US-IL-24 US-IN-22 US-IN-23 US-IN-24 US-KS-22 US-KY-24 US-KY-28 US-LA-25 US-LA-26 US-LA-27 US-LA-37 US-MA-30 US-MD-28 US-MD-29 US-MD-30 US-MI-23 US-MO-22 US-MO-24 US-MS-26 US-MS-27 US-NC-27 US-NC-28 US-NC-29 US-NJ-28 US-NJ-30 US-NY-13 US-NY-28 US-OH-13 US-OH-22 US-OH-23 US-OH-28 US-OK-21 US-OK-22 US-OK-25 US-PA-13 US-PA-28 US-PA-29 US-SC-27 US-SC-29 US-TN-24 US-TN-26 US-TN-27 US-TN-28 US-TX-20 US-TX-21 US-TX-25 US-TX-37 US-VA-27 US-VA-28 US-VA-29 US-VA-30 US-WI-23 US-WV-28","US-LA-37 US-NJ-28 US-WI-23",0.079778961337007,-0.136777279115123,-0.102938759533561,0.00633622238271903,0.156674786903338,0.26488184206582,0.308925552625781,3.9849619308407,-6.48672144885658,-4.9213717382726,0.310947510107673,7.97295242194975,13.8396292213641,16.3159705660695,-0.0935558495269773,-0.291086615847516,-0.257929470027927,-0.160420483192839,-0.0240619586605567,0.0756295874834323,0.114703786811243,0.236666666666667,0,0,0,0.763333333333333,0,0,1.56953365404193,1.53713185505986,69,0.445702831740904,0.40579040265876,1344,740.06,0.995678906940546,0.321728098793665,"Long-term",0.906,"High","High","Medium","High","High",FALSE,"Acadian Flycatcher","Moucherolle vert",4650,NA
"United States of America",1970,2019,"US","national","US-AL-24 US-AL-27 US-AL-28 US-AL-29 US-AR-24 US-AR-25 US-AR-26 US-CT-30 US-DE-30 US-FL-27 US-FL-31 US-GA-27 US-GA-28 US-GA-29 US-IA-22 US-IL-22 US-IL-24 US-IN-22 US-IN-23 US-IN-24 US-KS-22 US-KY-24 US-KY-28 US-LA-25 US-LA-26 US-LA-27 US-LA-37 US-MA-30 US-MD-28 US-MD-29 US-MD-30 US-MI-23 US-MO-22 US-MO-24 US-MS-26 US-MS-27 US-NC-27 US-NC-28 US-NC-29 US-NJ-28 US-NJ-30 US-NY-13 US-NY-28 US-OH-13 US-OH-22 US-OH-23 US-OH-28 US-OK-21 US-OK-22 US-OK-25 US-PA-13 US-PA-28 US-PA-29 US-SC-27 US-SC-29 US-TN-24 US-TN-26 US-TN-27 US-TN-28 US-TX-20 US-TX-21 US-TX-25 US-TX-37 US-VA-27 US-VA-28 US-VA-29 US-VA-30 US-WI-23 US-WV-28","US-LA-37 US-NJ-28 US-WI-23",0.079778961337007,-0.136777279115123,-0.102938759533561,0.00633622238271903,0.156674786903338,0.26488184206582,0.308925552625781,3.9849619308407,-6.48672144885658,-4.9213717382726,0.310947510107673,7.97295242194975,13.8396292213641,16.3159705660695,-0.0935558495269773,-0.291086615847516,-0.257929470027927,-0.160420483192839,-0.0240619586605567,0.0756295874834323,0.114703786811243,0.236666666666667,0,0,0,0.763333333333333,0,0,1.56953365404193,1.53713185505986,69,0.445702831740904,0.40579040265876,1344,740.06,0.995678906940546,0.321728098793665,"Long-term",0.906,"High","High","Medium","High","High",FALSE,"Acadian Flycatcher","Moucherolle vert",4650,NA
"Continental",2009,2019,"Continental","continental","US-AL-24 US-AL-27 US-AL-28 US-AL-29 US-AR-24 US-AR-25 US-AR-26 US-CT-30 US-DE-30 US-FL-27 US-FL-31 US-GA-27 US-GA-28 US-GA-29 US-IA-22 US-IL-22 US-IL-24 US-IN-22 US-IN-23 US-IN-24 US-KS-22 US-KY-24 US-KY-28 US-LA-25 US-LA-26 US-LA-27 US-LA-37 US-MA-30 US-MD-28 US-MD-29 US-MD-30 US-MI-23 US-MO-22 US-MO-24 US-MS-26 US-MS-27 US-NC-27 US-NC-28 US-NC-29 US-NJ-28 US-NJ-30 US-NY-13 US-NY-28 US-OH-13 US-OH-22 US-OH-23 US-OH-28 US-OK-21 US-OK-22 US-OK-25 US-PA-13 US-PA-28 US-PA-29 US-SC-27 US-SC-29 US-TN-24 US-TN-26 US-TN-27 US-TN-28 US-TX-20 US-TX-21 US-TX-25 US-TX-37 US-VA-27 US-VA-28 US-VA-29 US-VA-30 US-WI-23 US-WV-28","",1.59809512557512,0.970810245422301,1.05181540716881,1.37819367422714,1.81505188594509,2.15246101808598,2.27466358026071,17.180582859267,10.1433833674066,11.0302200964618,14.6688583319941,19.7070888054973,23.7337969816577,25.2219887197409,1.51897893943728,0.860985278332866,0.963065567679069,1.29384450851996,1.73384026012763,2.07944090391743,2.18681811545506,0,0,0,0,1,0.000277777777777778,0,1.60703028851934,1.74134556809802,69,1.30385333483841,1.32583283712219,1153,857.818181818182,1,0.332010752246833,"Short-term",0.909,"High","High","High","High","High",FALSE,"Acadian Flycatcher","Moucherolle vert",4650,NA
"United States of America",2009,2019,"US","national","US-AL-24 US-AL-27 US-AL-28 US-AL-29 US-AR-24 US-AR-25 US-AR-26 US-CT-30 US-DE-30 US-FL-27 US-FL-31 US-GA-27 US-GA-28 US-GA-29 US-IA-22 US-IL-22 US-IL-24 US-IN-22 US-IN-23 US-IN-24 US-KS-22 US-KY-24 US-KY-28 US-LA-25 US-LA-26 US-LA-27 US-LA-37 US-MA-30 US-MD-28 US-MD-29 US-MD-30 US-MI-23 US-MO-22 US-MO-24 US-MS-26 US-MS-27 US-NC-27 US-NC-28 US-NC-29 US-NJ-28 US-NJ-30 US-NY-13 US-NY-28 US-OH-13 US-OH-22 US-OH-23 US-OH-28 US-OK-21 US-OK-22 US-OK-25 US-PA-13 US-PA-28 US-PA-29 US-SC-27 US-SC-29 US-TN-24 US-TN-26 US-TN-27 US-TN-28 US-TX-20 US-TX-21 US-TX-25 US-TX-37 US-VA-27 US-VA-28 US-VA-29 US-VA-30 US-WI-23 US-WV-28","",1.59809512557512,0.970810245422301,1.05181540716881,1.37819367422714,1.81505188594509,2.15246101808598,2.27466358026071,17.180582859267,10.1433833674066,11.0302200964618,14.6688583319941,19.7070888054973,23.7337969816577,25.2219887197409,1.51897893943728,0.860985278332866,0.963065567679069,1.29384450851996,1.73384026012763,2.07944090391743,2.18681811545506,0,0,0,0,1,0.000277777777777778,0,1.60703028851934,1.74134556809802,69,1.30385333483841,1.32583283712219,1153,857.818181818182,1,0.332010752246833,"Short-term",0.909,"High","High","High","High","High",FALSE,"Acadian Flycatcher","Moucherolle vert",4650,NA
"Continental",1970,2019,"Continental","continental","US-AZ-16 US-AZ-34 US-CA-15 US-CA-32 US-CA-5 US-CA-9 US-NM-16 US-NM-34 US-OR-5 US-TX-35","US-NM-34 US-TX-35",0.827532263378383,0.348684509357397,0.431078316334592,0.659163732882539,0.986329699868016,1.22920679274423,1.32278019704294,49.7537697904021,18.596670534126,23.4633789558844,37.9788693561948,61.7583933838479,81.9641604420652,90.3916057996456,0.688521988468616,0.312423133695766,0.378927877324956,0.562355918665119,0.819922347163282,1.00303418524681,1.06582740947872,0.000833333333333333,0,0,0,0.999166666666667,0.843888888888889,0.00888888888888889,5.55253469074884,5.52866176248642,10,0.974095687685543,0.753404275782957,212,99.64,0.971450277980716,0.212475174046351,"Long-term",0.896,"High","High","Medium","High","High",FALSE,"Acorn Woodpecker","Pic glandivore",4070,NA
"United States of America",1970,2019,"US","national","US-AZ-16 US-AZ-34 US-CA-15 US-CA-32 US-CA-5 US-CA-9 US-NM-16 US-NM-34 US-OR-5 US-TX-35","US-NM-34 US-TX-35",0.827532263378383,0.348684509357397,0.431078316334592,0.659163732882539,0.986329699868016,1.22920679274423,1.32278019704294,49.7537697904021,18.596670534126,23.4633789558844,37.9788693561948,61.7583933838479,81.9641604420652,90.3916057996456,0.688521988468616,0.312423133695766,0.378927877324956,0.562355918665119,0.819922347163282,1.00303418524681,1.06582740947872,0.000833333333333333,0,0,0,0.999166666666667,0.843888888888889,0.00888888888888889,5.55253469074884,5.52866176248642,10,0.974095687685543,0.753404275782957,212,99.64,0.971450277980716,0.212475174046351,"Long-term",0.896,"High","High","Medium","High","High",FALSE,"Acorn Woodpecker","Pic glandivore",4070,NA
